pelodiscus_sinensis ENSPSIG00000007434
sorex_araneus ENSSARG00000000647
notamacropus_eugenii ENSMEUG00000005831
lepisosteus_oculatus ENSLOCG00000000734
latimeria_chalumnae ENSLACG00000007036
latimeria_chalumnae ENSLACG00000006454
danio_rerio ENSDARG00000097275
mandrillus_leucophaeus ENSMLEG00000029063
colobus_angolensis ENSCANG00000043690
tupaia_belangeri ENSTBEG00000015872
aotus_nancymaae ENSANAG00000020632
tursiops_truncatus ENSTTRG00000016353
procavia_capensis ENSPCAG00000008346
sorex_araneus ENSSARG00000004847
erinaceus_europaeus ENSEEUG00000005327
tupaia_belangeri ENSTBEG00000013873
serinus_canaria ENSSCAG00000014122
ovis_aries ENSOARG00000009727
ovis_aries ENSOARG00000009724
notechis_scutatus ENSNSUG00000004294
manacus_vitellinus ENSMVIG00005007669
castor_canadensis ENSCCNG00000018738
monodelphis_domestica ENSMODG00000015798
pogona_vitticeps ENSPVIG00000003843
pan_troglodytes ENSPTRG00000017908
pan_paniscus ENSPPAG00000031248
homo_sapiens ENSG00000204632
gorilla_gorilla ENSGGOG00000008012
pongo_abelii ENSPPYG00000017260
macaca_nemestrina ENSMNEG00000006424
macaca_mulatta ENSMMUG00000048614
theropithecus_gelada ENSTGEG00000005202
cercocebus_atys ENSCATG00000033544
mandrillus_leucophaeus ENSMLEG00000034050
mandrillus_leucophaeus ENSMLEG00000038419
papio_anubis ENSPANG00000033063
macaca_mulatta ENSMMUG00000001660
cercocebus_atys ENSCATG00000040030
macaca_mulatta ENSMMUG00000039966
mandrillus_leucophaeus ENSMLEG00000031607
aotus_nancymaae ENSANAG00000021564
callithrix_jacchus ENSCJAG00000046546
callithrix_jacchus ENSCJAG00000018186
saimiri_boliviensis ENSSBOG00000033748
cebus_capucinus ENSCCAG00000030847
aotus_nancymaae ENSANAG00000022773
aotus_nancymaae ENSANAG00000021854
nomascus_leucogenys ENSNLEG00000005023
pongo_abelii ENSPPYG00000017233
cebus_capucinus ENSCCAG00000037839
callithrix_jacchus ENSCJAG00000040213
aotus_nancymaae ENSANAG00000030343
pan_paniscus ENSPPAG00000028356
pan_troglodytes ENSPTRG00000017910
homo_sapiens ENSG00000204642
pongo_abelii ENSPPYG00000016398
nomascus_leucogenys ENSNLEG00000029996
rhinopithecus_bieti ENSRBIG00000035680
rhinopithecus_roxellana ENSRROG00000036640
colobus_angolensis ENSCANG00000021683
piliocolobus_tephrosceles ENSPTEG00000035232
macaca_fascicularis ENSMFAG00000040925
macaca_nemestrina ENSMNEG00000039482
macaca_mulatta ENSMMUG00000008799
mandrillus_leucophaeus ENSMLEG00000028633
cercocebus_atys ENSCATG00000006997
theropithecus_gelada ENSTGEG00000028917
chlorocebus_sabaeus ENSCSAG00000008083
papio_anubis ENSPANG00000007708
cebus_capucinus ENSCCAG00000022212
saimiri_boliviensis ENSSBOG00000021084
cebus_capucinus ENSCCAG00000020296
