seriola_lalandi_dorsalis ENSSLDG00000021999
seriola_dumerili ENSSDUG00000010787
scophthalmus_maximus ENSSMAG00000012784
labrus_bergylta ENSLBEG00000022171
labrus_bergylta ENSLBEG00000022147
astatotilapia_calliptera ENSACLG00000025028
haplochromis_burtoni ENSHBUG00000015606
pundamilia_nyererei ENSPNYG00000004126
maylandia_zebra ENSMZEG00005011948
neolamprologus_brichardi ENSNBRG00000007357
amphilophus_citrinellus ENSACIG00000002951
oryzias_latipes ENSORLG00000025418
oryzias_latipes ENSORLG00020022547
oryzias_latipes_asm223469v1 ENSORLG00015010810
oryzias_melastigma ENSOMEG00000020633
amphiprion_percula ENSAPEG00000005342
amphiprion_ocellaris ENSAOCG00000023775
acanthochromis_polyacanthus ENSAPOG00000009010
stegastes_partitus ENSSPAG00000007517
fundulus_heteroclitus ENSFHEG00000019581
cyprinodon_variegatus ENSCVAG00000011344
poecilia_latipinna ENSPLAG00000003026
poecilia_mexicana ENSPMEG00000001948
poecilia_latipinna ENSPLAG00000004134
poecilia_mexicana ENSPMEG00000001940
poecilia_formosa ENSPFOG00000023611
poecilia_reticulata ENSPREG00000010310
gambusia_affinis ENSGAFG00000015046
xiphophorus_maculatus ENSXMAG00000025826
xiphophorus_couchianus ENSXCOG00000010484
kryptolebias_marmoratus ENSKMAG00000008342
monopterus_albus ENSMALG00000015764
mastacembelus_armatus ENSMAMG00000005760
anabas_testudineus ENSATEG00000024924
anabas_testudineus ENSATEG00000024937
takifugu_rubripes ENSTRUG00000020002
cynoglossus_semilaevis ENSCSEG00000012692
periophthalmus_magnuspinnatus ENSPMGG00000013158
gadus_morhua ENSGMOG00000019899
esox_lucius ENSELUG00000023652
pygocentrus_nattereri ENSPNAG00000024246
astyanax_mexicanus ENSAMXG00000000065
ictalurus_punctatus ENSIPUG00000023393
danio_rerio ENSDARG00000089333
