ENSKMAT00000000731 ENSKMAG00000000543
ENSCGOT00000011747 ENSCGOG00000005434
ENSCGOT00000011757 ENSCGOG00000005434
ENSCGOT00000011763 ENSCGOG00000005434
ENSCGOT00000011771 ENSCGOG00000005434
ENSCGOT00000011785 ENSCGOG00000005434
ENSCGOT00000011804 ENSCGOG00000005434
ENSCGOT00000011813 ENSCGOG00000005434
ENSCGOT00000011824 ENSCGOG00000005434
ENSATET00000015985 ENSATEG00000010859
ENSATET00000016017 ENSATEG00000010859
ENSATET00000016068 ENSATEG00000010859
ENSNVIT00000019532 ENSNVIG00000013135
ENSUMAT00000006356 ENSUMAG00000004160
ENSVPAT00000011484 ENSVPAG00000011484
