>ENSPPYT00000012334	ENSPPYG00000010606
>ENSPPYT00000000167	ENSPPYG00000000156
>ENSPPAT00000044916	ENSPPAG00000034254
>ENSPPAT00000044922	ENSPPAG00000034254
>ENSPPYT00000000069	ENSPPYG00000000065
>ENSGGOT00000024150	ENSGGOG00000023042
>ENSGGOT00000051571	ENSGGOG00000023042
>ENSGGOT00000044320	ENSGGOG00000042736
>ENSGGOT00000063760	ENSGGOG00000042736
>ENSNLET00000045503	ENSNLEG00000027973
>ENST00000564130	ENSG00000261456
>ENST00000568866	ENSG00000261456
>ENST00000568584	ENSG00000261456
>ENST00000561967	ENSG00000261456
>ENST00000562809	ENSG00000261456
