>ENSACAT00000025747	ENSACAG00000025881
>ENSNSUT00000015596	ENSNSUG00000010851
>ENSPVIT00000023386	ENSPVIG00000014397
>ENSPVIT00000023389	ENSPVIG00000014397
>ENSPVIT00000023392	ENSPVIG00000014397
>ENSPVIT00000023395	ENSPVIG00000014397
>ENSSMRT00000009344	ENSSMRG00000006415
>ENSSMRT00000009356	ENSSMRG00000006415
>ENSSMRT00000009378	ENSSMRG00000006415
>ENSSMRT00000009385	ENSSMRG00000006415
>ENSARWT00000027307	ENSARWG00000016419
>ENSARWT00000027273	ENSARWG00000016329
>ENSARWT00000027296	ENSARWG00000016329
>ENSARWT00000027305	ENSARWG00000016329
>ENSAOWT00000010322	ENSAOWG00000006065
>ENSAOWT00000010373	ENSAOWG00000006065
>ENSAOWT00000010385	ENSAOWG00000006065
>ENSAOWT00000010393	ENSAOWG00000006065
>ENSAHAT00000008703	ENSAHAG00000005819
>ENSAHAT00000008707	ENSAHAG00000005819
>ENSDNVT00000022093	ENSDNVG00000012836
>ENSDNVT00000022098	ENSDNVG00000012836
>ENSDNVT00000022104	ENSDNVG00000012836
>ENSDNVT00000022117	ENSDNVG00000012836
>ENSNPET00000022111	ENSNPEG00000015878
>ENSNPET00000022121	ENSNPEG00000015878
>ENSNPET00000022124	ENSNPEG00000015878
>ENSNPET00000022127	ENSNPEG00000015878
>ENSNPET00000022129	ENSNPEG00000015878
>ENSNPET00000022137	ENSNPEG00000015878
>ENSNPET00000022146	ENSNPEG00000015878
>ENSSCAT00000019219	ENSSCAG00000012477
>ENSSCAT00000019222	ENSSCAG00000012477
>ENSMVIT00005008475	ENSMVIG00005005558
>ENSCCET00000017447	ENSCCEG00000010931
>ENSAHAT00000008695	ENSAHAG00000005815
>ENSAOWT00000009947	ENSAOWG00000006028
>ENSGALT00000108313	ENSGALG00000041263
>ENSGALT00000082498	ENSGALG00000041263
>ENSGALT00000091572	ENSGALG00000041263
>ENSGALT00000095393	ENSGALG00000041263
>ENSMGAT00000016939	ENSMGAG00000015065
>ENSCJPT00005034488	ENSCJPG00005019904
>ENSCJPT00005034490	ENSCJPG00005019904
>ENSCJPT00005034491	ENSCJPG00005019904
>ENSNMET00000015189	ENSNMEG00000009196
>ENSNMET00000015190	ENSNMEG00000009196
>ENSNMET00000015192	ENSNMEG00000009196
