ENSLACT00000025449 ENSLACG00000022431
ENSLACT00000001450 ENSLACG00000001287
ENSAOWT00000025794 ENSAOWG00000015377
ENSAOWT00000025797 ENSAOWG00000015377
ENSAOWT00000025801 ENSAOWG00000015377
ENSAHAT00000013297 ENSAHAG00000008687
ENSAHAT00000013304 ENSAHAG00000008687
ENSARWT00000005145 ENSARWG00000003254
ENSARWT00000005147 ENSARWG00000003254
ENSARWT00000005149 ENSARWG00000003254
ENSARWT00000005150 ENSARWG00000003254
ENSDNVT00000016173 ENSDNVG00000009483
ENSDNVT00000016179 ENSDNVG00000009483
ENSDNVT00000016192 ENSDNVG00000009483
ENSDNVT00000016202 ENSDNVG00000009483
ENSDNVT00000016214 ENSDNVG00000009483
ENSDNVT00000016229 ENSDNVG00000009483
ENSNPET00000012579 ENSNPEG00000009188
ENSJHYT00000025666 ENSJHYG00000016098
ENSJHYT00000025683 ENSJHYG00000016098
ENSJHYT00000025707 ENSJHYG00000016098
ENSZALT00000026767 ENSZALG00000016106
ENSZALT00000026768 ENSZALG00000016106
ENSPMJT00000023636 ENSPMJG00000013570
ENSPMJT00000023637 ENSPMJG00000013570
ENSPMJT00000023638 ENSPMJG00000013570
ENSCCET00000033442 ENSCCEG00000019902
ENSCCET00000033443 ENSCCEG00000019902
