ENSGAGT00000022320 ENSGAGG00000014452
ENSCABT00000034174 ENSCABG00000022781
ENSPSIT00000001088 ENSPSIG00000001087
ENSCPRT00005027547 ENSCPRG00005016388
ENSACAT00000002101 ENSACAG00000002160
ENSNSUT00000000391 ENSNSUG00000000367
ENSSMRT00000032957 ENSSMRG00000021728
ENSPVIT00000007655 ENSPVIG00000004911
ENSPVIT00000020490 ENSPVIG00000012657
ENSACAT00000002091 ENSACAG00000002132
ENSPVIT00000020489 ENSPVIG00000012656
ENSSPUT00000000289 ENSSPUG00000000276
ENSDNVT00000012754 ENSDNVG00000007483
ENSFALT00000000279 ENSFALG00000000268
ENSJHYT00000000009 ENSJHYG00000000007
ENSTGUT00000004278 ENSTGUG00000004118
