FBtr0300811 FBgn0030687
C42D4.8.1 WBGene00004411
ENSCGOT00000052113 ENSCGOG00000021643
ENSCGOT00000052131 ENSCGOG00000021643
ENSGACT00000003019 ENSGACG00000002304
ENSCSET00000026449 ENSCSEG00000016653
ENSHCOT00000014029 ENSHCOG00000001075
ENSPRNT00000052476 ENSPRNG00000023694
ENSPRNT00000052477 ENSPRNG00000023694
ENSPRNT00000052480 ENSPRNG00000023694
ENSGWIT00000056163 ENSGWIG00000025150
ENSGWIT00000056164 ENSGWIG00000025150
ENSGWIT00000056167 ENSGWIG00000025150
ENSGWIT00000056170 ENSGWIG00000025150
