ENSPTRT00000025189 ENSPTRG00000013535
ENSPPAT00000054226 ENSPPAG00000038621
ENSGGOT00000003022 ENSGGOG00000003007
ENST00000307971 ENSG00000175121
ENST00000372789 ENSG00000175121
ENSPPYT00000012820 ENSPPYG00000011047
ENSNLET00000008515 ENSNLEG00000006681
ENSMFAT00000031040 ENSMFAG00000043142
ENSMMUT00000018539 ENSMMUG00000013216
ENSCATT00000053659 ENSCATG00000037942
ENSRROT00000037973 ENSRROG00000031148
ENSRBIT00000048120 ENSRBIG00000036014
ENSTGET00000030898 ENSTGEG00000020907
ENSMLET00000045600 ENSMLEG00000035265
ENSMLET00000045601 ENSMLEG00000035265
ENSMNET00000055811 ENSMNEG00000039120
ENSPANT00000022492 ENSPANG00000007528
ENSCSAT00000012378 ENSCSAG00000014282
