FBtr0087952 FBgn0033737
K07F5.13a.1 WBGene00003787
K07F5.13b.1 WBGene00003787
K07F5.13c.1 WBGene00003787
ENSVURT00010014730 ENSVURG00010009966
ENSVURT00010014735 ENSVURG00010009966
ENSPCIT00000010693 ENSPCIG00000007031
ENSPCIT00000010695 ENSPCIG00000007031
ENSPCIT00000059156 ENSPCIG00000007031
ENSMODT00000073782 ENSMODG00000019296
ENSMODT00000024511 ENSMODG00000019296
ENSMODT00000088858 ENSMODG00000019296
ENSPSMT00000019994 ENSPSMG00000012263
ENSPSMT00000019995 ENSPSMG00000012263
ENSMICT00000060491 ENSMICG00000000932
ENSMICT00000000934 ENSMICG00000000932
ENSPCOT00000033549 ENSPCOG00000023550
ENSPCOT00000033551 ENSPCOG00000023550
ENSPCOT00000038619 ENSPCOG00000026435
ENSOGAT00000016349 ENSOGAG00000016341
