ENSPKIT00000017484 ENSPKIG00000015066
ENSSFOT00015002813 ENSSFOG00015001797
ENSSFOT00015002839 ENSSFOG00015001797
ENSELUT00000001573 ENSELUG00000011263
ENSELUT00000001617 ENSELUG00000011263
ENSDCDT00000038122 ENSDCDG00000020758
ENSPKIT00000023828 ENSPKIG00000018793
ENSSFOT00015019483 ENSSFOG00015012402
ENSLOCT00000008595 ENSLOCG00000007083
ENSECRT00000017329 ENSECRG00000011310
ENSECRT00000017344 ENSECRG00000011310
ENSCMIT00000001222 ENSCMIG00000000783
ENSPVIT00000014733 ENSPVIG00000009122
ENSACAT00000015686 ENSACAG00000015657
