ENSCJAT00000020472 ENSCJAG00000043494
ENSCCAT00000027293 ENSCCAG00000022693
ENSCCAT00000027307 ENSCCAG00000022693
ENSCCAT00000027312 ENSCCAG00000022693
ENSMNET00000051377 ENSMNEG00000036953
ENSMNET00000051384 ENSMNEG00000036953
ENSTGET00000027789 ENSTGEG00000018854
ENSCJAT00000067882 ENSCJAG00000041374
ENSCJAT00000068722 ENSCJAG00000041374
ENST00000400374 ENSG00000215454
ENSTGET00000028097 ENSTGEG00000019057
ENSPTRT00000074488 ENSPTRG00000039751
ENSPPAT00000041213 ENSPPAG00000032384
ENST00000334670 ENSG00000243489
ENSPPYT00000013352 ENSPPYG00000011497
