FBtr0082924 FBgn0038221
C02H7.1.1 WBGene00001127
ENSMEUT00000010808 ENSMEUG00000010766
ENSPCIT00000043956 ENSPCIG00000026388
ENSPCIT00000043957 ENSPCIG00000026388
ENSMODT00000069927 ENSMODG00000002477
ENSMODT00000083495 ENSMODG00000002477
ENSMODT00000054375 ENSMODG00000002477
ENSMODT00000056758 ENSMODG00000002477
ENSMODT00000061188 ENSMODG00000002477
ENSMODT00000083828 ENSMODG00000002477
ENSMODT00000030059 ENSMODG00000002477
ENSPTRT00000055962 ENSPTRG00000028947
ENSPTRT00000081848 ENSPTRG00000028947
ENSGGOT00000034406 ENSGGOG00000010361
ENSGGOT00000030673 ENSGGOG00000010361
ENSGGOT00000010406 ENSGGOG00000010361
ENST00000391993 ENSG00000204104
ENST00000373327 ENSG00000204104
