>ENSELUT00000040775	ENSELUG00000000732
>ENSHHUT00000053155	ENSHHUG00000030916
>ENSHHUT00000020316	ENSHHUG00000012242
>ENSNBRT00000007233	ENSNBRG00000005504
>ENSMZET00005015142	ENSMZEG00005011029
>ENSACLT00000041047	ENSACLG00000027026
>ENSPNYT00000010254	ENSPNYG00000007603
>ENSACLT00000027498	ENSACLG00000018272
>ENSHBUT00000002957	ENSHBUG00000009336
>ENSPNYT00000023877	ENSPNYG00000017592
>ENSSFOT00015011609	ENSSFOG00015007396
>ENSNBRT00000019573	ENSNBRG00000014712
>ENSECRT00000032473	ENSECRG00000021534
