ENSXCOT00000019823 ENSXCOG00000014713
ENSDART00000166996 ENSDARG00000100224
ENSEBUT00000025428 ENSEBUG00000015352
ENSCABT00000016285 ENSCABG00000011110
ENSGAGT00000035362 ENSGAGG00000021693
ENSGAGT00000035364 ENSGAGG00000021693
ENSGAGT00000035452 ENSGAGG00000021693
ENSGAGT00000035475 ENSGAGG00000021693
ENSGAGT00000035485 ENSGAGG00000021693
ENSGAGT00000035494 ENSGAGG00000021693
ENSGAGT00000035498 ENSGAGG00000021693
ENSGAGT00000035500 ENSGAGG00000021693
ENSGAGT00000035507 ENSGAGG00000021693
ENSGAGT00000035512 ENSGAGG00000021693
