ENSSFOT00015013070 ENSSFOG00015008271
ENSPKIT00000041697 ENSPKIG00000003149
ENSPKIT00000041770 ENSPKIG00000003149
ENSPKIT00000041853 ENSPKIG00000003149
ENSPKIT00000041913 ENSPKIG00000003149
ENSIPUT00000030158 ENSIPUG00000019473
ENSIPUT00000030230 ENSIPUG00000019473
ENSIPUT00000030272 ENSIPUG00000019473
ENSIPUT00000030317 ENSIPUG00000019473
ENSEEET00000025866 ENSEEEG00000012401
ENSAMXT00000006208 ENSAMXG00000006035
ENSAMXT00000057095 ENSAMXG00000006035
ENSAMXT00000049591 ENSAMXG00000006035
ENSAMXT00000049026 ENSAMXG00000006035
ENSAMXT00000050214 ENSAMXG00000006035
ENSAMXT00000006211 ENSAMXG00000006035
