ENSCINT00000019521 ENSCING00000009603
ENSEBUT00000001354 ENSEBUG00000000996
ENSEBUT00000016766 ENSEBUG00000010172
ENSEBUT00000011674 ENSEBUG00000007141
ENSEBUT00000011695 ENSEBUG00000007141
ENSEBUT00000011717 ENSEBUG00000007141
ENSCINT00000032843 ENSCING00000001556
ENSCINT00000014067 ENSCING00000006850
ENSCINT00000024193 ENSCING00000012943
ENSCSAVT00000009128 ENSCSAVG00000005329
ENSCINT00000032368 ENSCING00000022817
ENSCSAVT00000010052 ENSCSAVG00000005847
ENSCSAVT00000010053 ENSCSAVG00000005847
ENSCINT00000011547 ENSCING00000005572
ENSPLAT00000001711 ENSPLAG00000011832
