>ENSPTRT00000045974	ENSPTRG00000022993
>ENSPPAT00000032519	ENSPPAG00000028166
>ENSGGOT00000008952	ENSGGOG00000008913
>ENST00000356517	ENSG00000197953
>ENSPPYT00000016528	ENSPPYG00000014217
>ENSNLET00000004485	ENSNLEG00000003525
>ENSTGET00000008263	ENSTGEG00000005612
>ENSPANT00000011552	ENSPANG00000009179
>ENSCATT00000050469	ENSCATG00000036536
>ENSMMUT00000026395	ENSMMUG00000018774
>ENSMFAT00000009491	ENSMFAG00000042922
>ENSMNET00000044930	ENSMNEG00000034142
>ENSMLET00000047381	ENSMLEG00000036108
>ENSCSAT00000010002	ENSCSAG00000011925
