>ENSCHAT00000067386	ENSCHAG00000027798
>ENSCHAT00000067379	ENSCHAG00000027793
>ENSCHAT00000067380	ENSCHAG00000027793
>ENSCHAT00000067233	ENSCHAG00000027751
>ENSCHAT00000067249	ENSCHAG00000027754
>ENSCHAT00000067251	ENSCHAG00000027754
>ENSCHAT00000067254	ENSCHAG00000027754
>ENSCHAT00000067257	ENSCHAG00000027754
>ENSCHAT00000067260	ENSCHAG00000027754
>ENSCHAT00000067261	ENSCHAG00000027754
>ENSCHAT00000067263	ENSCHAG00000027754
>ENSCHAT00000067266	ENSCHAG00000027754
>ENSCHAT00000067269	ENSCHAG00000027754
>ENSCHAT00000067273	ENSCHAG00000027754
>ENSCHAT00000067377	ENSCHAG00000027789
>ENSCHAT00000067360	ENSCHAG00000027787
>ENSCHAT00000067402	ENSCHAG00000027808
>ENSCHAT00000067404	ENSCHAG00000027808
>ENSCHAT00000067405	ENSCHAG00000027808
>ENSCHAT00000067407	ENSCHAG00000027808
>ENSCHAT00000067333	ENSCHAG00000027771
>ENSCHAT00000067335	ENSCHAG00000027771
>ENSCHAT00000067337	ENSCHAG00000027771
>ENSCHAT00000067339	ENSCHAG00000027771
>ENSCHAT00000067343	ENSCHAG00000027771
>ENSCHAT00000067349	ENSCHAG00000027771
>ENSDCDT00000010404	ENSDCDG00000004753
>ENSDCDT00000010413	ENSDCDG00000004755
>ENSDCDT00000010446	ENSDCDG00000004757
>ENSDCDT00000010457	ENSDCDG00000004764
>ENSDCDT00000010460	ENSDCDG00000004764
>ENSAMXT00000040914	ENSAMXG00000037672
