ENSMVIT00005027265 ENSMVIG00005016984
ENSCCET00000000087 ENSCCEG00000000082
ENSJHYT00000005738 ENSJHYG00000003853
ENSRROT00000048076 ENSRROG00000035756
ENSCAPT00000010276 ENSCAPG00000008723
ENSCAPT00000010280 ENSCAPG00000008723
ENSRNOT00000030321 ENSRNOG00000023762
ENSEEUT00000014657 ENSEEUG00000014668
ENSPCAT00000007294 ENSPCAG00000007316
ENSMEUT00000012187 ENSMEUG00000012163
ENSOART00000002744 ENSOARG00000002537
ENSCHIT00000016716 ENSCHIG00000011968
ENSVVUT00000036344 ENSVVUG00000020061
ENSUAMT00000036134 ENSUAMG00000024774
ENSUAMT00000036135 ENSUAMG00000024774
ENSDNOT00000037712 ENSDNOG00000031677
