ENSCINT00000030667 ENSCING00000004834
ENSCSAVT00000005780 ENSCSAVG00000003392
ENSCSAVT00000005782 ENSCSAVG00000003392
T11A5.6a.1 WBGene00011705
T11A5.6b.1 WBGene00011705
T11A5.6c.1 WBGene00011705
W05G11.4.1 WBGene00021041
ENSPCAT00000013403 ENSPCAG00000013382
ENSLAFT00000025787 ENSLAFG00000029213
ENSDNOT00000051149 ENSDNOG00000035064
ENSPPAT00000049283 ENSPPAG00000036297
ENSPPAT00000049289 ENSPPAG00000036297
ENSPTRT00000077047 ENSPTRG00000045173
ENSPTRT00000106857 ENSPTRG00000045173
ENST00000562370 ENSG00000103326
