ENSPSIT00000002546 ENSPSIG00000002494
ENSPSIT00000019915 ENSPSIG00000017581
ENSSCAT00000008446 ENSSCAG00000005749
ENSDCDT00000022313 ENSDCDG00000007332
ENSDCDT00000022315 ENSDCDG00000007332
ENSDCDT00000022321 ENSDCDG00000007332
ENSDCDT00000022323 ENSDCDG00000007332
ENSDCDT00000022324 ENSDCDG00000007332
ENSDCDT00000022331 ENSDCDG00000007332
ENSDCDT00000022334 ENSDCDG00000007332
ENSDCDT00000022337 ENSDCDG00000007332
ENSDCDT00000022339 ENSDCDG00000007332
ENSCHAT00000058187 ENSCHAG00000024452
ENSCHAT00000058198 ENSCHAG00000024452
ENSCHAT00000058315 ENSCHAG00000024452
ENSCHAT00000058318 ENSCHAG00000024452
ENSCHAT00000058330 ENSCHAG00000024452
ENSCHAT00000058404 ENSCHAG00000024452
ENSCHAT00000058410 ENSCHAG00000024452
ENSCHAT00000058421 ENSCHAG00000024452
ENSCHAT00000058433 ENSCHAG00000024452
ENSCHAT00000058444 ENSCHAG00000024452
ENSPNAT00000026230 ENSPNAG00000023776
ENSPNAT00000038525 ENSPNAG00000023776
