>ENSATET00000012592	ENSATEG00000008650
>ENSMAMT00000015759	ENSMAMG00000010392
>ENSMAMT00000015764	ENSMAMG00000010392
>ENSPRNT00000011509	ENSPRNG00000006089
>ENSXCOT00000011927	ENSXCOG00000008913
>ENSLBET00000008613	ENSLBEG00000006330
>ENSHHUT00000005806	ENSHHUG00000003460
>ENSHHUT00000019256	ENSHHUG00000011595
>ENSDNVT00000021903	ENSDNVG00000012731
>ENSNPET00000011700	ENSNPEG00000008567
>ENSAOWT00000015686	ENSAOWG00000009427
>ENSAOWT00000015688	ENSAOWG00000009427
>ENSARWT00000015738	ENSARWG00000009521
>ENSARWT00000015739	ENSARWG00000009521
>ENSAHAT00000028317	ENSAHAG00000017927
>ENSCPGT00000023148	ENSCPGG00000014762
>ENSCPUT00000032154	ENSCPUG00000018386
>ENSGALT00000050934	ENSGALG00000029244
>ENSGALT00000092477	ENSGALG00000029244
>ENSCJPT00005029636	ENSCJPG00005017273
>ENSNMET00000011594	ENSNMEG00000007047
>ENSNMET00000011596	ENSNMEG00000007047
