>ENSPKIT00000026165	ENSPKIG00000020183
>ENSSFOT00015009875	ENSSFOG00015006271
>ENSTRUT00000036760	ENSTRUG00000014324
>ENSMMOT00000003802	ENSMMOG00000002986
>ENSLCRT00005004265	ENSLCRG00005000323
>ENSLCRT00005004446	ENSLCRG00005000323
>ENSLCRT00005005737	ENSLCRG00005000323
>ENSLCRT00005005747	ENSLCRG00005000323
>ENSLCRT00005005762	ENSLCRG00005000323
>ENSLCRT00005005766	ENSLCRG00005000323
>ENSLCRT00005005768	ENSLCRG00005000323
>ENSLCRT00005005769	ENSLCRG00005000323
>ENSLCRT00005005776	ENSLCRG00005000323
>ENSLCRT00005005780	ENSLCRG00005000323
>ENSLBET00000006341	ENSLBEG00000004617
>ENSLBET00000006670	ENSLBEG00000004617
>ENSLBET00000007001	ENSLBEG00000004617
>ENSLBET00000007080	ENSLBEG00000004617
>ENSCGOT00000036908	ENSCGOG00000013887
>ENSCGOT00000036914	ENSCGOG00000013887
>ENSCGOT00000036920	ENSCGOG00000013887
>ENSMALT00000018355	ENSMALG00000012511
>ENSMALT00000018390	ENSMALG00000012511
>ENSMALT00000018422	ENSMALG00000012511
>ENSMAMT00000033128	ENSMAMG00000021699
>ENSMAMT00000033134	ENSMAMG00000021699
>ENSMAMT00000033141	ENSMAMG00000021699
>ENSATET00000020568	ENSATEG00000014057
>ENSATET00000020604	ENSATEG00000014057
>ENSBSLT00000004557	ENSBSLG00000002064
>ENSBSLT00000004559	ENSBSLG00000002064
>ENSBSLT00000004562	ENSBSLG00000002064
>ENSBSLT00000004563	ENSBSLG00000002064
>ENSBSLT00000004565	ENSBSLG00000002064
>ENSBSLT00000004566	ENSBSLG00000002064
>ENSBSLT00000004567	ENSBSLG00000002064
>ENSBSLT00000004571	ENSBSLG00000002064
>ENSBSLT00000004573	ENSBSLG00000002064
>ENSSDUT00000023135	ENSSDUG00000016505
>ENSSDUT00000023179	ENSSDUG00000016505
>ENSSDUT00000023234	ENSSDUG00000016505
