ENSOANT00000039044 ENSOANG00000029220
ENSVURT00010006164 ENSVURG00010004250
ENSVURT00010006187 ENSVURG00010004250
ENSPCIT00000026940 ENSPCIG00000016545
ENSPCIT00000026944 ENSPCIG00000016545
ENSPCIT00000026935 ENSPCIG00000016545
ENSPCIT00000026936 ENSPCIG00000016545
ENSPCIT00000026938 ENSPCIG00000016545
ENSSHAT00000003525 ENSSHAG00000003066
ENSMODT00000016379 ENSMODG00000012850
ENSMODT00000063805 ENSMODG00000012850
ENSUMAT00000039720 ENSUMAG00000024186
ENSUMAT00000039723 ENSUMAG00000024186
ENSUMAT00000039724 ENSUMAG00000024186
ENSUMAT00000039725 ENSUMAG00000024186
ENSUAMT00000035326 ENSUAMG00000024251
ENSAMET00000011459 ENSAMEG00000010347
ENSNVIT00000011838 ENSNVIG00000007795
ENSNVIT00000011862 ENSNVIG00000007795
ENSNVIT00000011879 ENSNVIG00000007795
