ENSMFAT00000026116 ENSMFAG00000040800
ENSMMUT00000033490 ENSMMUG00000063681
ENSMNET00000064639 ENSMNEG00000042989
ENSMNET00000064644 ENSMNEG00000042989
ENSCATT00000049766 ENSCATG00000036232
ENSCSAT00000001594 ENSCSAG00000003564
ENSRROT00000032984 ENSRROG00000028879
ENSRROT00000032986 ENSRROG00000028879
ENSRROT00000042895 ENSRROG00000033404
ENSNLET00000036817 ENSNLEG00000034616
ENSNLET00000000860 ENSNLEG00000000696
ENSRROT00000070155 ENSRROG00000045704
ENSRROT00000070156 ENSRROG00000045704
ENSRBIT00000053778 ENSRBIG00000038793
ENSPTET00000052077 ENSPTEG00000035877
ENSPTET00000052079 ENSPTEG00000035877
