ENSDNOT00000047629 ENSDNOG00000034952
ENSDNOT00000041706 ENSDNOG00000030823
ENSDNOT00000033239 ENSDNOG00000048098
ENSDNOT00000049968 ENSDNOG00000043533
ENSDNOT00000035388 ENSDNOG00000046454
ENSDNOT00000035931 ENSDNOG00000044790
ENSDNOT00000044874 ENSDNOG00000036108
ENSDNOT00000036517 ENSDNOG00000032173
ENSDNOT00000052004 ENSDNOG00000046906
ENSDNOT00000041197 ENSDNOG00000042003
ENSDNOT00000046589 ENSDNOG00000047862
ENSDNOT00000034994 ENSDNOG00000036471
ENSDNOT00000037706 ENSDNOG00000034593
ENSDNOT00000033410 ENSDNOG00000035678
ENSDNOT00000017455 ENSDNOG00000017455
ENSCPOT00000015844 ENSCPOG00000015689
ENSCLAT00000019574 ENSCLAG00000013291
ENSFDAT00000008913 ENSFDAG00000005701
MGP_SPRETEiJ_T0054991 MGP_SPRETEiJ_G0024842
