>FBtr0076091	FBgn0028668
>FBtr0080120	FBgn0032294
>FBtr0076090	FBgn0028667
>FBtr0302359	FBgn0028667
>FBtr0087070	FBgn0262513
>FBtr0086150	FBgn0262736
>FBtr0086151	FBgn0262736
>FBtr0086152	FBgn0262736
>FBtr0086153	FBgn0262736
>ENST00000330398	ENSG00000185883
>ENST00000568562	ENSG00000185883
>ENST00000565223	ENSG00000185883
>ENST00000564973	ENSG00000185883
>ENSGGOT00000032357	ENSGGOG00000028600
>ENSPPAT00000060179	ENSPPAG00000041395
>ENSPTRT00000014113	ENSPTRG00000007653
>ENSNLET00000012023	ENSNLEG00000009416
>ENSMNET00000049441	ENSMNEG00000036086
>ENSTGET00000039076	ENSTGEG00000026297
>ENSCATT00000052981	ENSCATG00000037637
>ENSPANT00000012425	ENSPANG00000017593
>ENSCSAT00000008579	ENSCSAG00000010494
>ENSPTET00000045730	ENSPTEG00000031876
