ENSPTET00000039082 ENSPTEG00000027712
ENSPTRT00000032075 ENSPTRG00000017335
ENSPPAT00000004542 ENSPPAG00000004197
ENST00000231136 ENSG00000113211
ENST00000622991 ENSG00000113211
ENSGGOT00000041096 ENSGGOG00000034817
ENSCJAT00000031413 ENSCJAG00000039993
ENSPCOT00000036535 ENSPCOG00000025197
ENSTBET00000008086 ENSTBEG00000008100
ENSUPAT00010011451 ENSUPAG00010008069
ENSSDAT00000024085 ENSSDAG00000019174
ENSSTOT00000037297 ENSSTOG00000009760
ENSSTOT00000009753 ENSSTOG00000009760
MGP_SPRETEiJ_T0048391 MGP_SPRETEiJ_G0023079
ENSMUST00000056915 ENSMUSG00000047307
ENSMSIT00000002191 ENSMSIG00000001667
MGP_CAROLIEiJ_T0046474 MGP_CAROLIEiJ_G0022169
MGP_PahariEiJ_T0039072 MGP_PahariEiJ_G0018903
ENSRNOT00000027172 ENSRNOG00000020062
ENSMUGT00000033310 ENSMUGG00000024115
