ENSLACT00000026478 ENSLACG00000022614
ENSXETT00000022682 ENSXETG00000016770
ENSXETT00000035893 ENSXETG00000016770
ENSCMIT00000036950 ENSCMIG00000015383
ENSCMIT00000036952 ENSCMIG00000015383
ENSCMIT00000036954 ENSCMIG00000015383
ENSCMIT00000036955 ENSCMIG00000015383
ENSAOWT00000001730 ENSAOWG00000001075
ENSARWT00000010478 ENSARWG00000006417
ENSDNVT00000010932 ENSDNVG00000006440
ENSDNVT00000010936 ENSDNVG00000006440
ENSDNVT00000010941 ENSDNVG00000006440
ENSNPET00000011796 ENSNPEG00000008621
ENSNPET00000011797 ENSNPEG00000008621
