Y82E9BL.6.1 WBGene00022323
Y82E9BL.5.1 WBGene00022322
Y82E9BL.3.1 WBGene00022320
Y82E9BL.2.1 WBGene00022319
F57G9.3.1 WBGene00010219
Y57A10C.1.1 WBGene00013280
Y57A10C.11.1 WBGene00044047
Y38E10A.28.1 WBGene00044034
C08F1.6.1 WBGene00015610
F45C12.17.1 WBGene00269388
C08F1.10.1 WBGene00015613
C08F1.11.1 WBGene00044417
F36H5.4.1 WBGene00018103
F36H5.10.1 WBGene00018108
F36H5.10.2 WBGene00018108
F36H5.10.3 WBGene00018108
C08F1.8.1 WBGene00015611
C40A11.8.1 WBGene00016551
C08F1.12a.1 WBGene00269389
