>ENSTNIT00000007517	ENSTNIG00000004706
>ENSTRUT00000001331	ENSTRUG00000000559
>ENSPRNT00000017646	ENSPRNG00000008797
>ENSXCOT00000006782	ENSXCOG00000005189
>ENSSMAT00000028863	ENSSMAG00000017446
>ENSCGOT00000017785	ENSCGOG00000007925
>ENSPMGT00000006228	ENSPMGG00000004941
>ENSGWIT00000041345	ENSGWIG00000019468
>ENSCSET00000031758	ENSCSEG00000020079
>ENSBSLT00000026857	ENSBSLG00000012258
>ENSPMET00000001690	ENSPMEG00000010696
>ENSPFOT00000002112	ENSPFOG00000002242
>ENSPRET00000007572	ENSPREG00000005142
>ENSPRET00000007586	ENSPREG00000005142
>ENSXMAT00000037554	ENSXMAG00000026867
>ENSFHET00000008437	ENSFHEG00000000144
>ENSKMAT00000020512	ENSKMAG00000015049
>ENSORLT00000014848	ENSORLG00000011851
