ENSPPAT00000064066 ENSPPAG00000043196
ENSPTRT00000016818 ENSPTRG00000030927
ENST00000335552 ENSG00000186393
ENSGGOT00000011278 ENSGGOG00000011236
ENSPPYT00000009879 ENSPPYG00000008452
ENSNLET00000002805 ENSNLEG00000002206
ENSCSAT00000000842 ENSCSAG00000002826
ENSMLET00000018184 ENSMLEG00000016638
ENSMFAT00000021787 ENSMFAG00000001350
ENSMMUT00000002105 ENSMMUG00000001495
ENSMNET00000069260 ENSMNEG00000044933
ENSTGET00000010352 ENSTGEG00000007040
ENSPANT00000007475 ENSPANG00000021624
ENSCATT00000040442 ENSCATG00000032089
