>ENSLOCT00000016081	ENSLOCG00000013032
>ENSLACT00000002976	ENSLACG00000002640
>ENSCVAT00000008229	ENSCVAG00000005800
>ENSGACT00000010751	ENSGACG00000008113
>ENSAOWT00000023843	ENSAOWG00000014241
>ENSTGUT00000013147	ENSTGUG00000012631
>ENSFALT00000002598	ENSFALG00000002486
>ENSGALT00000093051	ENSGALG00000054735
>ENSMGAT00000014819	ENSMGAG00000013170
>ENSPSIT00000000860	ENSPSIG00000000860
>ENSSMRT00000020916	ENSSMRG00000013933
>ENSMODT00000034459	ENSMODG00000024078
>ENSSHAT00000006904	ENSSHAG00000005948
