ENSEBUT00000025814 ENSEBUG00000015572
ENSEBUT00000018055 ENSEBUG00000010924
ENSEBUT00000014156 ENSEBUG00000008576
ENSCHAT00000033388 ENSCHAG00000014510
ENSCHAT00000033470 ENSCHAG00000014510
ENSDCDT00000011717 ENSDCDG00000005328
ENSDCDT00000011722 ENSDCDG00000005328
ENSDCDT00000011728 ENSDCDG00000005328
ENSDCDT00000011731 ENSDCDG00000005328
ENSDCDT00000011733 ENSDCDG00000005328
ENSDCDT00000011737 ENSDCDG00000005328
ENSEEET00000013032 ENSEEEG00000006473
ENSEEET00000013034 ENSEEEG00000006473
ENSIPUT00000001590 ENSIPUG00000001003
ENSIPUT00000001635 ENSIPUG00000001003
ENSIPUT00000001645 ENSIPUG00000001003
ENSIPUT00000001670 ENSIPUG00000001003
ENSAMXT00000045470 ENSAMXG00000035687
