ENSVURT00010002690 ENSVURG00010001948
ENSPPAT00000000105 ENSPPAG00000000101
ENSPTRT00000025190 ENSPTRG00000013536
ENST00000372785 ENSG00000168703
ENSGGOT00000023386 ENSGGOG00000023468
ENSPPYT00000012822 ENSPPYG00000011048
ENSNLET00000008521 ENSNLEG00000006683
ENSCSAT00000012384 ENSCSAG00000014294
ENSPANT00000009967 ENSPANG00000026136
ENSTGET00000030854 ENSTGEG00000020876
ENSMFAT00000006895 ENSMFAG00000002898
ENSMNET00000064488 ENSMNEG00000042922
ENSMMUT00000018540 ENSMMUG00000013217
ENSMLET00000062541 ENSMLEG00000043515
ENSCATT00000009316 ENSCATG00000008472
