ENSLACT00000020355 ENSLACG00000017767
ENSCHAT00000064456 ENSCHAG00000026797
ENSCHAT00000064477 ENSCHAG00000026797
ENSCHAT00000064483 ENSCHAG00000026797
ENSCHAT00000064491 ENSCHAG00000026797
ENSCHAT00000064496 ENSCHAG00000026797
ENSCHAT00000064499 ENSCHAG00000026797
ENSDCDT00000003356 ENSDCDG00000001552
ENSDCDT00000003365 ENSDCDG00000001552
ENSDCDT00000003374 ENSDCDG00000001552
ENSDCDT00000003376 ENSDCDG00000001552
ENSEEET00000009272 ENSEEEG00000004706
ENSEEET00000009274 ENSEEEG00000004706
ENSEEET00000009285 ENSEEEG00000004706
ENSEEET00000009288 ENSEEEG00000004706
ENSIPUT00000025734 ENSIPUG00000016675
ENSIPUT00000025795 ENSIPUG00000016675
