FBtr0084277 FBgn0051156
ZK973.1.1 WBGene00022830
ENSVURT00010024266 ENSVURG00010016306
ENSPCIT00000041615 ENSPCIG00000025060
ENSPCIT00000066598 ENSPCIG00000025060
ENSPCIT00000041616 ENSPCIG00000025060
ENSPCIT00000041617 ENSPCIG00000025060
ENSMEUT00000015314 ENSMEUG00000015265
ENSMODT00000000998 ENSMODG00000000822
ENSMODT00000068230 ENSMODG00000000822
ENSMODT00000079098 ENSMODG00000000822
ENSUMAT00000020751 ENSUMAG00000012902
ENSUMAT00000020758 ENSUMAG00000012902
ENSUAMT00000011985 ENSUAMG00000008126
ENSUAMT00000011988 ENSUAMG00000008126
ENSUAMT00000011990 ENSUAMG00000008126
ENSUAMT00000012006 ENSUAMG00000008126
ENSUAMT00000012007 ENSUAMG00000008126
ENSAMET00000006590 ENSAMEG00000005993
ENSNVIT00000025530 ENSNVIG00000017107
