ENSMICT00000015193 ENSMICG00000015202
ENSPSMT00000028581 ENSPSMG00000017364
ENSOGAT00000033070 ENSOGAG00000032028
ENSOCUT00000026482 ENSOCUG00000023652
ENSCCNT00000025729 ENSCCNG00000019921
ENSDORT00000007940 ENSDORG00000007940
ENSMUST00000080288 ENSMUSG00000058741
MGP_SPRETEiJ_T0081378 MGP_SPRETEiJ_G0030461
ENSMSIT00000017548 ENSMSIG00000011932
MGP_CAROLIEiJ_T0078052 MGP_CAROLIEiJ_G0029364
MGP_PahariEiJ_T0046384 MGP_PahariEiJ_G0021217
ENSRNOT00000068251 ENSRNOG00000043154
ENSRNOT00000088955 ENSRNOG00000043154
ENSMUGT00000035213 ENSMUGG00000025562
