ENSPTRT00000097157 ENSPTRG00000049529
ENSPTRT00000088077 ENSPTRG00000045418
ENSPTRT00000086603 ENSPTRG00000050484
ENSPTRT00000098439 ENSPTRG00000051023
ENSPTRT00000095420 ENSPTRG00000049606
ENSPTRT00000091009 ENSPTRG00000047969
ENSPTRT00000089054 ENSPTRG00000048167
ENSPPAT00000024879 ENSPPAG00000022685
ENSPTRT00000078128 ENSPTRG00000045444
ENSPTRT00000098683 ENSPTRG00000046400
ENSGGOT00000051478 ENSGGOG00000038097
ENSNLET00000046344 ENSNLEG00000035606
ENST00000407184 ENSG00000272968
ENST00000396904 ENSG00000272968
ENSCCNT00000032594 ENSCCNG00000024980
ENSFCAT00000067972 ENSFCAG00000048020
