ENSPPAT00000008421 ENSPPAG00000007778
ENSPTRT00000106892 ENSPTRG00000048755
ENST00000571244 ENSG00000262406
ENSGGOT00000033003 ENSGGOG00000015496
ENSNLET00000009178 ENSNLEG00000007183
ENSMFAT00000011706 ENSMFAG00000037971
ENSMMUT00000006029 ENSMMUG00000004250
ENSMNET00000058830 ENSMNEG00000040391
ENSCATT00000041023 ENSCATG00000032347
ENSTGET00000019909 ENSTGEG00000013469
ENSPANT00000004482 ENSPANG00000018407
ENSMLET00000038425 ENSMLEG00000031646
ENSCSAT00000001217 ENSCSAG00000003188
ENSPTET00000045933 ENSPTEG00000032008
