ENSSFOT00015020894 ENSSFOG00015013252
ENSPKIT00000018846 ENSPKIG00000015885
ENSPKIT00000019000 ENSPKIG00000015885
ENSPKIT00000019039 ENSPKIG00000015885
ENSPKIT00000018597 ENSPKIG00000015699
ENSPKIT00000018653 ENSPKIG00000015699
ENSSFOT00015026539 ENSSFOG00015016794
ENSSFOT00015026576 ENSSFOG00015016794
ENSSFOT00015026614 ENSSFOG00015016794
ENSSFOT00015026671 ENSSFOG00015016794
ENSDCDT00000014148 ENSDCDG00000007010
ENSDCDT00000014205 ENSDCDG00000007010
ENSDCDT00000014261 ENSDCDG00000007010
ENSDCDT00000014279 ENSDCDG00000007010
ENSDCDT00000001544 ENSDCDG00000000723
ENSDCDT00000001562 ENSDCDG00000000723
ENSDCDT00000001568 ENSDCDG00000000723
ENSCHAT00000005655 ENSCHAG00000002317
ENSCHAT00000005858 ENSCHAG00000002317
ENSCHAT00000005916 ENSCHAG00000002317
ENSCHAT00000006035 ENSCHAG00000002317
ENSPNAT00000031538 ENSPNAG00000027824
ENSPNAT00000031563 ENSPNAG00000027824
ENSGACT00000022818 ENSGACG00000017238
