ENSCSAVT00000010012 ENSCSAVG00000005814
ENSCSAVT00000019443 ENSCSAVG00000011296
ENSCSAVT00000009996 ENSCSAVG00000005807
ENSCSAVT00000019438 ENSCSAVG00000011293
ENSCSAVT00000019439 ENSCSAVG00000011293
ENSCSAVT00000019440 ENSCSAVG00000011294
ENSCINT00000025181 ENSCING00000013626
ENSCINT00000034607 ENSCING00000018624
ENSCINT00000025316 ENSCING00000018344
ENSCINT00000012582 ENSCING00000006103
ENSCSAVT00000007319 ENSCSAVG00000004321
ENSCSAVT00000012494 ENSCSAVG00000007262
ENSCINT00000034217 ENSCING00000021159
ENSCINT00000027322 ENSCING00000015188
ENSCSAVT00000009990 ENSCSAVG00000005801
ENSCINT00000036318 ENSCING00000024113
