ENSOANT00000040677 ENSOANG00000031653
ENSEBUT00000025033 ENSEBUG00000015082
ENSEBUT00000025059 ENSEBUG00000015082
ENSOANT00000042041 ENSOANG00000029474
ENSOANT00000041603 ENSOANG00000030989
ENSPCIT00000021505 ENSPCIG00000013341
ENSPCIT00000021492 ENSPCIG00000013341
ENSPCIT00000021497 ENSPCIG00000013341
ENSVURT00010003828 ENSVURG00010002152
ENSVURT00010003841 ENSVURG00010002152
ENSVURT00010005906 ENSVURG00010003789
ENSVURT00010005953 ENSVURG00010003789
ENSSHAT00000018021 ENSSHAG00000015174
ENSMODT00000007275 ENSMODG00000005750
ENSMODT00000053741 ENSMODG00000005750
ENSCHOT00000007747 ENSCHOG00000007701
ENSLAFT00000034075 ENSLAFG00000001710
ENSPCAT00000001600 ENSPCAG00000001492
ENSETET00000016147 ENSETEG00000016146
