ENSCINT00000032560 ENSCING00000019158
ENSCINT00000034495 ENSCING00000021506
ENSCINT00000033793 ENSCING00000024258
ENSCSAVT00000017427 ENSCSAVG00000010141
ENSCSAVT00000017430 ENSCSAVG00000010143
ENSCSAVT00000017434 ENSCSAVG00000010145
ENSCINT00000031169 ENSCING00000019036
ENSCINT00000033180 ENSCING00000022596
ENSCINT00000030252 ENSCING00000024321
ENSCSAVT00000016512 ENSCSAVG00000009614
ENSCSAVT00000016513 ENSCSAVG00000009614
ENSCSAVT00000016514 ENSCSAVG00000009614
ENSCINT00000000924 ENSCING00000000504
ENSCSAVT00000020018 ENSCSAVG00000011628
ENSCINT00000000931 ENSCING00000000509
ENSCSAVT00000015342 ENSCSAVG00000008894
ENSCINT00000033941 ENSCING00000021393
ENSCINT00000015513 ENSCING00000007572
ENSCINT00000037304 ENSCING00000019600
ENSCINT00000031808 ENSCING00000024152
ENSCINT00000030464 ENSCING00000022350
ENSCINT00000006677 ENSCING00000003250
ENSCINT00000024323 ENSCING00000013026
ENSCSAVT00000016795 ENSCSAVG00000009768
ENSCSAVT00000004036 ENSCSAVG00000002359
ENSCINT00000025033 ENSCING00000013523
ENSCINT00000025029 ENSCING00000013521
ENSCINT00000010386 ENSCING00000005046
ENSEBUT00000002319 ENSEBUG00000001598
ENSEBUT00000002342 ENSEBUG00000001598
ENSLCOT00000001887 ENSLCOG00000001398
ENSLCOT00000001883 ENSLCOG00000001397
