FBtr0073922 FBgn0030556
C03D6.3a.1 WBGene00000466
C03D6.3a.2 WBGene00000466
C03D6.3b.1 WBGene00000466
ENSPMAT00000006030 ENSPMAG00000005449
ENSPMAT00000006023 ENSPMAG00000005449
ENSPMAT00000006033 ENSPMAG00000005449
ENSEBUT00000009832 ENSEBUG00000005986
ENSCHAT00000057260 ENSCHAG00000023930
ENSCHAT00000057270 ENSCHAG00000023930
ENSCHAT00000057298 ENSCHAG00000023930
ENSCHAT00000057314 ENSCHAG00000023930
ENSDCDT00000044714 ENSDCDG00000022957
ENSDCDT00000044760 ENSDCDG00000022957
ENSDCDT00000044797 ENSDCDG00000022957
ENSDCDT00000044825 ENSDCDG00000022957
ENSDCDT00000044831 ENSDCDG00000022957
ENSDCDT00000044834 ENSDCDG00000022957
ENSAMXT00000039434 ENSAMXG00000031342
ENSAMXT00000039308 ENSAMXG00000043201
