ENSCINT00000037322 ENSCING00000020186
ENSCSAVT00000020041 ENSCSAVG00000011646
ENSCSAVT00000020051 ENSCSAVG00000011651
ENSCSAVT00000014314 ENSCSAVG00000008301
ENSCSAVT00000014315 ENSCSAVG00000008301
ENSCSAVT00000020049 ENSCSAVG00000011649
ENSCSAVT00000020057 ENSCSAVG00000011655
ENSCSAVT00000020058 ENSCSAVG00000011655
ENSCSAVT00000020059 ENSCSAVG00000011655
ENSCSAVT00000020060 ENSCSAVG00000011656
ENSCSAVT00000014334 ENSCSAVG00000008312
ENSCSAVT00000020052 ENSCSAVG00000011652
ENSCINT00000034896 ENSCING00000023066
ENSCINT00000006296 ENSCING00000003112
ENSCSAVT00000020042 ENSCSAVG00000011647
ENSCSAVT00000020043 ENSCSAVG00000011647
ENSCSAVT00000003855 ENSCSAVG00000002247
ENSCINT00000001477 ENSCING00000000810
