ENSCSAVT00000000321 ENSCSAVG00000000174
ENSMALT00000031464 ENSMALG00000021375
ENSSMAT00000018299 ENSSMAG00000011015
ENSSMAT00000018448 ENSSMAG00000011015
ENSSMAT00000018450 ENSSMAG00000011015
ENSPLAT00000018180 ENSPLAG00000013970
ENSPMET00000013315 ENSPMEG00000002945
ENSCVAT00000007722 ENSCVAG00000006133
ENSPMET00000021923 ENSPMEG00000016424
ENSPMET00000021927 ENSPMEG00000016424
ENSPRET00000026930 ENSPREG00000018017
ENSPRET00000026939 ENSPREG00000018017
ENSPFOT00000017165 ENSPFOG00000017080
ENSPLAT00000022581 ENSPLAG00000000512
ENSXCOT00000002318 ENSXCOG00000001830
ENSCVAT00000022320 ENSCVAG00000017154
ENSCVAT00000031120 ENSCVAG00000017154
ENSFHET00000011212 ENSFHEG00000003876
ENSKMAT00000023247 ENSKMAG00000017031
ENSKMAT00000023259 ENSKMAG00000017031
ENSAPET00000013556 ENSAPEG00000009412
ENSAPET00000013563 ENSAPEG00000009412
ENSLCRT00005047633 ENSLCRG00005017782
ENSLCRT00005047635 ENSLCRG00005017782
ENSLBET00000011620 ENSLBEG00000008491
