ENSMVIT00005010588 ENSMVIG00005006844
ENSAOWT00000013780 ENSAOWG00000008303
ENSVURT00010028874 ENSVURG00010019413
ENSVURT00010013154 ENSVURG00010008908
ENSSHAT00000013636 ENSSHAG00000011562
ENSSHAT00000013637 ENSSHAG00000011562
ENSMODT00000013257 ENSMODG00000010387
ENSMODT00000042591 ENSMODG00000028982
ENSOANT00000020343 ENSOANG00000012861
MGP_SPRETEiJ_T0086457 MGP_SPRETEiJ_G0031749
ENSMSIT00000040177 ENSMSIG00000026582
ENSMSIT00000040194 ENSMSIG00000026582
MGP_CAROLIEiJ_T0083039 MGP_CAROLIEiJ_G0030638
ENSMUST00000209398 ENSMUSG00000025461
ENSMUST00000209637 ENSMUSG00000025461
ENSMUST00000084460 ENSMUSG00000025461
MGP_PahariEiJ_T0019819 MGP_PahariEiJ_G0013843
ENSRNOT00000049269 ENSRNOG00000018978
ENSMUGT00000035962 ENSMUGG00000026104
ENSMUGT00000035963 ENSMUGG00000026104
ENSDORT00000025879 ENSDORG00000001702
ENSDORT00000001702 ENSDORG00000001702
ENSSTOT00000027939 ENSSTOG00000020175
