ENSEBUT00000003879 ENSEBUG00000002519
ENSEBUT00000028103 ENSEBUG00000016859
ENSEBUT00000028112 ENSEBUG00000016859
ENSPMAT00000001547 ENSPMAG00000001390
ENSSFOT00015035203 ENSSFOG00015022162
ENSSFOT00015035260 ENSSFOG00015022162
ENSPKIT00000013333 ENSPKIG00000012521
ENSPKIT00000013374 ENSPKIG00000012521
ENSPKIT00000013813 ENSPKIG00000012808
ENSSFOT00015016739 ENSSFOG00015010655
ENSSFOT00015016775 ENSSFOG00015010655
ENSSFOT00015016836 ENSSFOG00015010655
ENSDCDT00000076018 ENSDCDG00000035833
ENSDCDT00000076019 ENSDCDG00000035833
ENSDCDT00000076020 ENSDCDG00000035833
ENSDCDT00000076021 ENSDCDG00000035833
ENSCHAT00000066278 ENSCHAG00000027465
ENSCHAT00000066285 ENSCHAG00000027465
ENSCHAT00000066286 ENSCHAG00000027465
ENSCHAT00000066287 ENSCHAG00000027465
ENSCHAT00000066288 ENSCHAG00000027465
ENSCHAT00000066289 ENSCHAG00000027465
ENSEEET00000045511 ENSEEEG00000021083
ENSEEET00000045523 ENSEEEG00000021083
ENSEEET00000045531 ENSEEEG00000021083
ENSEEET00000045552 ENSEEEG00000021083
ENSIPUT00000032632 ENSIPUG00000021061
ENSIPUT00000032642 ENSIPUG00000021061
ENSIPUT00000032666 ENSIPUG00000021061
ENSIPUT00000032705 ENSIPUG00000021061
ENSIPUT00000032733 ENSIPUG00000021061
ENSIPUT00000032762 ENSIPUG00000021061
ENSAMXT00000004876 ENSAMXG00000004608
