ENSCINT00000001082 ENSCING00000000592
ENSCINT00000012888 ENSCING00000006253
ENSCINT00000015950 ENSCING00000007782
ENSCINT00000036403 ENSCING00000020838
ENSCSAVT00000004621 ENSCSAVG00000002710
ENSCSAVT00000004917 ENSCSAVG00000002891
ENSCSAVT00000004918 ENSCSAVG00000002891
ENSCSAVT00000004919 ENSCSAVG00000002891
ENSCSAVT00000004920 ENSCSAVG00000002891
ENSCSAVT00000004921 ENSCSAVG00000002891
ENSCSAVT00000004922 ENSCSAVG00000002891
ENSCSAVT00000004923 ENSCSAVG00000002891
ENSCSAVT00000004925 ENSCSAVG00000002891
ENSCSAVT00000004926 ENSCSAVG00000002891
