ENSPTET00000027676 ENSPTEG00000020306
ENSPTET00000015257 ENSPTEG00000011399
ENSCPRT00005010633 ENSCPRG00005006437
ENSPMAT00000004760 ENSPMAG00000004291
ENSEBUT00000027610 ENSEBUG00000016617
ENSEBUT00000027619 ENSEBUG00000016617
ENSEBUT00000027630 ENSEBUG00000016617
ENSEBUT00000027641 ENSEBUG00000016617
ENSLACT00000015126 ENSLACG00000013219
ENSXETT00000001622 ENSXETG00000000773
ENSXETT00000001672 ENSXETG00000000773
ENSXETT00000001730 ENSXETG00000000773
ENSXETT00000001755 ENSXETG00000000773
ENSXETT00000001772 ENSXETG00000000773
ENSXETT00000002059 ENSXETG00000000773
ENSXETT00000002065 ENSXETG00000000773
