>ENSPPAT00000054391	ENSPPAG00000038706
>ENSPTRT00000032989	ENSPTRG00000017873
>ENSGGOT00000001771	ENSGGOG00000001759
>ENST00000259883	ENSG00000137338
>ENSPPYT00000019027	ENSPPYG00000016369
>ENSNLET00000055807	ENSNLEG00000036262
>ENSPANT00000012303	ENSPANG00000016270
>ENSTGET00000005085	ENSTGEG00000003511
>ENSMLET00000056086	ENSMLEG00000040463
>ENSCATT00000044373	ENSCATG00000033873
>ENSMFAT00000004832	ENSMFAG00000042494
>ENSMMUT00000082191	ENSMMUG00000007228
>ENSMMUT00000010102	ENSMMUG00000007228
>ENSMMUT00000103161	ENSMMUG00000007228
>ENSMNET00000042235	ENSMNEG00000032959
>ENSCSAT00000006062	ENSCSAG00000008007
>ENSRBIT00000031397	ENSRBIG00000027815
>ENSRROT00000064573	ENSRROG00000043333
