ENSCMIT00000013620 ENSCMIG00000006675
ENSPCIT00000046397 ENSPCIG00000027745
ENSPCIT00000046401 ENSPCIG00000027745
ENSPCIT00000046404 ENSPCIG00000027745
ENSPCIT00000046406 ENSPCIG00000027745
ENSVURT00010013772 ENSVURG00010009369
ENSVURT00010013798 ENSVURG00010009369
ENSMODT00000081787 ENSMODG00000005435
ENSMODT00000006851 ENSMODG00000005435
ENSMODT00000085759 ENSMODG00000005435
ENSMODT00000070411 ENSMODG00000005435
ENSMODT00000061878 ENSMODG00000005435
ENSOANT00000009774 ENSOANG00000006121
ENSETET00000017620 ENSETEG00000017619
ENSDNOT00000045146 ENSDNOG00000047685
ENSDNOT00000031917 ENSDNOG00000039973
ENST00000251527 ENSG00000117868
ENST00000275418 ENSG00000117868
