ENSEBUT00000016671 ENSEBUG00000010124
ENSXMAT00000022461 ENSXMAG00000015923
ENSXMAT00000015987 ENSXMAG00000015923
ENSXCOT00000003088 ENSXCOG00000002413
ENSXCOT00000003091 ENSXCOG00000002413
ENSGAFT00000008810 ENSGAFG00000005888
ENSGAFT00000008827 ENSGAFG00000005888
ENSPFOT00000031270 ENSPFOG00000004718
ENSPFOT00000005058 ENSPFOG00000004718
ENSPFOT00000030698 ENSPFOG00000004718
ENSPLAT00000016837 ENSPLAG00000000981
ENSPMET00000020015 ENSPMEG00000014750
ENSPRET00000021296 ENSPREG00000014254
ENSPRET00000021304 ENSPREG00000014254
ENSFHET00000014155 ENSFHEG00000002034
ENSFHET00000014163 ENSFHEG00000002034
ENSFHET00000014176 ENSFHEG00000002034
ENSCVAT00000021243 ENSCVAG00000016135
ENSKMAT00000001719 ENSKMAG00000001255
ENSKMAT00000001745 ENSKMAG00000001255
