ENSEBUT00000013095 ENSEBUG00000007962
ENSEBUT00000010009 ENSEBUG00000006107
ENSEBUT00000010021 ENSEBUG00000006107
ENSEBUT00000008488 ENSEBUG00000005209
ENSEBUT00000008503 ENSEBUG00000005209
ENSEBUT00000024165 ENSEBUG00000014536
ENSCINT00000010674 ENSCING00000005191
ENSPTET00000003700 ENSPTEG00000002819
FBtr0089623 FBgn0260634
FBtr0344335 FBgn0260634
FBtr0089243 FBgn0023213
FBtr0289951 FBgn0023213
FBtr0112904 FBgn0023213
M110.4a.1 WBGene00002066
M110.4b.1 WBGene00002066
M110.4c.1 WBGene00002066
M110.4c.2 WBGene00002066
M110.4c.3 WBGene00002066
M110.4d.1 WBGene00002066
