ENSPKIT00000041221 ENSPKIG00000002923
ENSSFOT00015029814 ENSSFOG00015018951
ENSSFOT00015029821 ENSSFOG00015018951
ENSPMET00000006602 ENSPMEG00000007421
ENSPLAT00000001460 ENSPLAG00000012033
ENSPRET00000021844 ENSPREG00000014626
ENSXCOT00000007877 ENSXCOG00000005972
ENSXMAT00000003774 ENSXMAG00000003756
ENSGAFT00000025757 ENSGAFG00000017212
ENSGAFT00000025759 ENSGAFG00000017212
ENSFHET00000004348 ENSFHEG00000008193
ENSFHET00000004354 ENSFHEG00000008193
ENSFHET00000004364 ENSFHEG00000008193
ENSCVAT00000022871 ENSCVAG00000017662
