ENSVURT00010018153 ENSVURG00010012227
ENSPCIT00000012084 ENSPCIG00000007859
ENSMEUT00000012096 ENSMEUG00000012074
ENSSHAT00000007465 ENSSHAG00000006434
ENSMODT00000011215 ENSMODG00000008837
ENSLAFT00000001953 ENSLAFG00000001953
ENSETET00000004280 ENSETEG00000004281
ENSDNOT00000003810 ENSDNOG00000003814
ENSPSMT00000043688 ENSPSMG00000026022
ENSMICT00000007635 ENSMICG00000007640
ENSPCOT00000033466 ENSPCOG00000023516
ENSOGAT00000004921 ENSOGAG00000004918
ENSPTRT00000013479 ENSPTRG00000007304
ENSPPAT00000062515 ENSPPAG00000042497
ENST00000308527 ENSG00000173548
ENSGGOT00000016028 ENSGGOG00000015978
ENSPPYT00000007868 ENSPPYG00000006665
ENSNLET00000017004 ENSNLEG00000013364
ENSMNET00000033676 ENSMNEG00000029197
ENSMMUT00000022649 ENSMMUG00000016106
ENSMFAT00000023682 ENSMFAG00000002189
ENSCATT00000052599 ENSCATG00000037475
ENSCATT00000052602 ENSCATG00000037475
ENSTGET00000042660 ENSTGEG00000028618
ENSPANT00000026626 ENSPANG00000015901
ENSMLET00000028943 ENSMLEG00000026381
ENSCSAT00000012680 ENSCSAG00000014590
ENSPTET00000007756 ENSPTEG00000005855
