K08D8.5.1 WBGene00010659
C32H11.1a.1 WBGene00007864
C32H11.1b.1 WBGene00007864
K08D8.4a.1 WBGene00010658
K08D8.4a.2 WBGene00010658
K08D8.4b.1 WBGene00010658
K08D8.4b.2 WBGene00010658
K08D8.4c.1 WBGene00010658
K08D8.4d.1 WBGene00010658
K08D8.3.1 WBGene00010657
C32H11.10.1 WBGene00007873
C32H11.9.1 WBGene00007872
C32H11.12.1 WBGene00007875
F55C9.6.1 WBGene00010103
ZK896.5.1 WBGene00014136
ZK896.5.2 WBGene00014136
ZK896.4.1 WBGene00014135
K08D8.6a.1 WBGene00010660
K08D8.6b.1 WBGene00010660
ZK896.1.1 WBGene00014132
C29F3.7a.1 WBGene00007807
C29F3.7b.1 WBGene00007807
ZK1037.6.1 WBGene00014194
T05E12.6a.1 WBGene00011487
T05E12.6b.1 WBGene00011487
K10D11.5.1 WBGene00010749
K10D11.3a.1 WBGene00010747
K10D11.3b.1 WBGene00010747
K10D11.3c.1 WBGene00010747
K10D11.6.1 WBGene00010750
K10D11.4.1 WBGene00010748
F55G11.4.1 WBGene00010124
F55G11.2.1 WBGene00010123
F55G11.8.1 WBGene00010128
F55G11.6.1 WBGene00010126
F55G11.7.1 WBGene00010127
F55G11.7.2 WBGene00010127
C49G7.13.1 WBGene00269425
K10D11.1.1 WBGene00010745
C32H11.13.1 WBGene00007876
F55G11.5a.1 WBGene00010125
F55G11.5b.1 WBGene00010125
K10D11.2.1 WBGene00010746
C32H11.3.1 WBGene00007866
C32H11.4.1 WBGene00007867
T19C9.8.1 WBGene00011844
F17C11.11a.1 WBGene00008922
F17C11.11b.1 WBGene00008922
C45B11.6.1 WBGene00045379
ENSPNAT00000002131 ENSPNAG00000013119
ENSCABT00000029595 ENSCABG00000019821
ENSGAGT00000027995 ENSGAGG00000017962
