FBtr0083259 FBgn0020407
R02D3.4a.1 WBGene00019822
R02D3.4b.1 WBGene00019822
R02D3.4c.1 WBGene00019822
ENSPKIT00000024558 ENSPKIG00000019221
ENSSFOT00015017950 ENSSFOG00015011412
ENSSFOT00015017973 ENSSFOG00015011412
ENSSFOT00015018010 ENSSFOG00015011412
ENSCHAT00000015191 ENSCHAG00000006399
ENSCHAT00000015264 ENSCHAG00000006399
ENSCHAT00000015478 ENSCHAG00000006399
ENSCHAT00000015547 ENSCHAG00000006399
ENSCHAT00000015630 ENSCHAG00000006399
ENSDCDT00000049892 ENSDCDG00000025410
ENSDCDT00000049894 ENSDCDG00000025410
ENSDCDT00000049928 ENSDCDG00000025410
ENSDCDT00000049951 ENSDCDG00000025410
ENSAMXT00000051017 ENSAMXG00000003664
ENSAMXT00000003748 ENSAMXG00000003664
