ENSPPAT00000027438 ENSPPAG00000024853
ENSPTRT00000086854 ENSPTRG00000044431
ENSGGOT00000033219 ENSGGOG00000023740
ENSPPYT00000019197 ENSPPYG00000016507
ENSMLET00000010998 ENSMLEG00000009976
ENSTGET00000043967 ENSTGEG00000029485
ENSCATT00000050655 ENSCATG00000036623
ENSMMUT00000109977 ENSMMUG00000058175
ENSMNET00000061572 ENSMNEG00000041642
ENSMFAT00000006298 ENSMFAG00000037076
ENSPANT00000021090 ENSPANG00000007623
ENSRROT00000068536 ENSRROG00000045017
ENSRBIT00000046635 ENSRBIG00000035323
ENSPTET00000041404 ENSPTEG00000029174
