ENSPNAT00000029004 ENSPNAG00000006736
ENSEEET00000040590 ENSEEEG00000019027
ENSEEET00000040594 ENSEEEG00000019027
ENSDCDT00000005535 ENSDCDG00000002502
ENSDCDT00000005536 ENSDCDG00000002502
ENSDCDT00000005538 ENSDCDG00000002502
ENSDCDT00000005885 ENSDCDG00000002639
ENSDCDT00000005888 ENSDCDG00000002639
ENSDCDT00000005890 ENSDCDG00000002639
ENSDCDT00000005891 ENSDCDG00000002639
ENSPRET00000027985 ENSPREG00000018735
ENSAOCT00000031438 ENSAOCG00000019112
ENSACLT00000011182 ENSACLG00000007473
ENSACIT00000017719 ENSACIG00000013455
ENSHCOT00000009498 ENSHCOG00000004232
ENSCSET00000002233 ENSCSEG00000001474
ENSGMOT00000015915 ENSGMOG00000014511
