ENSPTRT00000040105 ENSPTRG00000021631
ENSPPAT00000056706 ENSPPAG00000039779
ENSGGOT00000015518 ENSGGOG00000015466
ENST00000381127 ENSG00000062096
ENST00000359361 ENSG00000062096
ENSPPYT00000023434 ENSPPYG00000020096
ENSTGET00000018819 ENSTGEG00000012714
ENSPANT00000010004 ENSPANG00000001629
ENSMLET00000042184 ENSMLEG00000033547
ENSMMUT00000098172 ENSMMUG00000000443
ENSMMUT00000000642 ENSMMUG00000000443
ENSMMUT00000098655 ENSMMUG00000000443
ENSMFAT00000027434 ENSMFAG00000038297
ENSMFAT00000027437 ENSMFAG00000038297
ENSMNET00000061105 ENSMNEG00000041423
ENSCATT00000052503 ENSCATG00000037426
ENSCSAT00000013651 ENSCSAG00000015554
ENSRBIT00000040545 ENSRBIG00000032370
ENSRROT00000055031 ENSRROG00000039053
