ENSEBUT00000022308 ENSEBUG00000013416
ENSSFOT00015001098 ENSSFOG00015000724
ENSPKIT00000032386 ENSPKIG00000023854
ENSSFOT00015035581 ENSSFOG00015022423
ENSSFOT00015035601 ENSSFOG00015022423
ENSSFOT00015035623 ENSSFOG00015022423
ENSSFOT00015035638 ENSSFOG00015022423
ENSPKIT00000017230 ENSPKIG00000014909
ENSCHAT00000030107 ENSCHAG00000010861
ENSCHAT00000030198 ENSCHAG00000010861
ENSCHAT00000030477 ENSCHAG00000010861
ENSCHAT00000030687 ENSCHAG00000010861
ENSCHAT00000030724 ENSCHAG00000010861
ENSDCDT00000063481 ENSDCDG00000029463
ENSDCDT00000063595 ENSDCDG00000029463
ENSDCDT00000063612 ENSDCDG00000029463
ENSDCDT00000063663 ENSDCDG00000029463
ENSDCDT00000063860 ENSDCDG00000029463
ENSAMXT00000000942 ENSAMXG00000000900
